Src,Det,ch Coord,MNI,label
29,27,89 186 140,-38 37 20,Frontal_Mid_L
29,57,105 185 147,-22 36 27,Frontal_Mid_L
30,27,97 190 127,-31 42 8,Frontal_Inf_Tri_L
30,58,87 193 118,-40 45 -1,Frontal_Mid_Orb_L
31,2,120 197 138,-7 47 19,Frontal_Sup_Medial_L
31,26,108 205 153,-19 55 34,Frontal_Mid_L
31,27,99 192 131,-29 44 12,Frontal_Inf_Tri_L
31,28,114 200 122,-13 51 4,Cingulum_Ant_L
31,59,117 197 134,-10 48 15,Frontal_Sup_Medial_L
32,27,87 198 122,-41 50 4,Frontal_Inf_Tri_L
32,28,106 200 119,-21 52 1,Frontal_Sup_L
32,60,101 198 119,-26 49 1,Frontal_Sup_L
