"channel_id","channel_type","source_optode","source_landmark","detector_optode","detector_landmark","fOLD_reference","fOLD_channel_number","fOLD_source_landmark","fOLD_detector_landmark","match_status","fOLD_distance_mm","fOLD_brain_sensitivity_percent","fOLD_mni_x_mm","fOLD_mni_y_mm","fOLD_mni_z_mm","Brodmann_primary_area","Brodmann_primary_specificity_percent","Brodmann_all_areas"
"Ch-041","long","S10","C4","D10","CP4","10-10","102","C4","CP4","Exact unordered 10-10 landmark pair","36","6,62","53","-35","52","40 - Supramarginal gyrus part of Wernicke's area","50,04","40 - Supramarginal gyrus part of Wernicke's area (50,04%); 2 - Primary Somatosensory Cortex (18,86%); 3 - Primary Somatosensory Cortex (17,66%); 1 - Primary Somatosensory Cortex (8,36%); 4 - Primary Motor Cortex (3,05%)"
"Ch-042","short","S10","C4","D38","C4","","","","","No direct fOLD match: co-located short-separation detector",,,,,,"",,""
"Ch-043","long","S11","T8","D8","C6","10-10","104","T8","C6","Exact unordered 10-10 landmark pair","41","11,1","67","-19","4","22 - Superior Temporal Gyrus","47,33","22 - Superior Temporal Gyrus (47,33%); 21 - Middle Temporal gyrus (38,02%); 48 - Retrosubicular area (6,52%); 43 - Subcentral area (2,80%); 2 - Primary Somatosensory Cortex (2,10%); 42 - Primary and Auditory Association Cortex (1,39%); 20 - Inferior Temporal gyrus (1,28%)"
"Ch-044","long","S11","T8","D11","TP8","10-10","105","T8","TP8","Exact unordered 10-10 landmark pair","29","5,99","68","-31","-12","21 - Middle Temporal gyrus","54,96","21 - Middle Temporal gyrus (54,96%); 20 - Inferior Temporal gyrus (41,52%); 22 - Superior Temporal Gyrus (2,24%); 37 - Fusiform gyrus (1,20%)"
"Ch-045","short","S11","T8","D39","T8","","","","","No direct fOLD match: co-located short-separation detector",,,,,,"",,""
"Ch-046","long","S12","CP2","D7","C2","10-10","107","CP2","C2","Exact unordered 10-10 landmark pair","38","7,49","28","-36","71","4 - Primary Motor Cortex","24,07","4 - Primary Motor Cortex (24,07%); 3 - Primary Somatosensory Cortex (24,04%); 6 - Pre-Motor and Supplementary Motor Cortex (18,02%); 7 - Somatosensory Association Cortex (11,62%); 1 - Primary Somatosensory Cortex (7,95%); 2 - Primary Somatosensory Cortex (6,91%); 5 - Somatosensory Association Cortex (5,23%); 40 - Supramarginal gyrus part of Wernicke's area (1,72%)"
"Ch-047","long","S12","CP2","D9","CPz","10-10","106","CP2","Cpz","Exact unordered 10-10 landmark pair","39","6,16","17","-50","73","5 - Somatosensory Association Cortex","47,39","5 - Somatosensory Association Cortex (47,39%); 7 - Somatosensory Association Cortex (30,46%); 3 - Primary Somatosensory Cortex (7,00%); 1 - Primary Somatosensory Cortex (6,80%); 4 - Primary Motor Cortex (3,96%); 2 - Primary Somatosensory Cortex (2,75%)"
"Ch-048","long","S12","CP2","D10","CP4","10-10","108","CP2","CP4","Exact unordered 10-10 landmark pair","38","7,48","39","-49","60","40 - Supramarginal gyrus part of Wernicke's area","45,11","40 - Supramarginal gyrus part of Wernicke's area (45,11%); 7 - Somatosensory Association Cortex (25,25%); 2 - Primary Somatosensory Cortex (13,53%); 3 - Primary Somatosensory Cortex (5,76%); 39 - Angular gyrus, part of Wernicke's area (3,41%); 1 - Primary Somatosensory Cortex (3,13%); 5 - Somatosensory Association Cortex (2,05%)"
"Ch-049","long","S12","CP2","D12","P2","10-10","109","CP2","P2","Exact unordered 10-10 landmark pair","39","7,2","25","-62","63","7 - Somatosensory Association Cortex","86,02","7 - Somatosensory Association Cortex (86,02%); 5 - Somatosensory Association Cortex (6,62%); 40 - Supramarginal gyrus part of Wernicke's area (2,79%); 2 - Primary Somatosensory Cortex (1,32%)"
"Ch-050","short","S12","CP2","D40","CP2","","","","","No direct fOLD match: co-located short-separation detector",,,,,,"",,""
"Ch-051","long","S13","CP6","D8","C6","10-10","110","CP6","C6","Exact unordered 10-10 landmark pair","33","6,28","65","-33","23","22 - Superior Temporal Gyrus","31,6","22 - Superior Temporal Gyrus (31,60%); 48 - Retrosubicular area (26,83%); 2 - Primary Somatosensory Cortex (18,95%); 40 - Supramarginal gyrus part of Wernicke's area (11,48%); 42 - Primary and Auditory Association Cortex (7,78%); 43 - Subcentral area (1,48%); 21 - Middle Temporal gyrus (1,06%)"
"Ch-052","long","S13","CP6","D10","CP4","10-10","111","CP6","CP4","Exact unordered 10-10 landmark pair","38","8,19","58","-48","38","40 - Supramarginal gyrus part of Wernicke's area","68,98","40 - Supramarginal gyrus part of Wernicke's area (68,98%); 39 - Angular gyrus, part of Wernicke's area (12,80%); 48 - Retrosubicular area (7,47%); 22 - Superior Temporal Gyrus (6,94%); 42 - Primary and Auditory Association Cortex (1,48%); 2 - Primary Somatosensory Cortex (1,29%)"
"Ch-053","long","S13","CP6","D11","TP8","10-10","112","CP6","TP8","Exact unordered 10-10 landmark pair","39","9,58","65","-44","6","22 - Superior Temporal Gyrus","40,43","22 - Superior Temporal Gyrus (40,43%); 21 - Middle Temporal gyrus (35,40%); 37 - Fusiform gyrus (9,77%); 20 - Inferior Temporal gyrus (8,32%); 42 - Primary and Auditory Association Cortex (2,85%); 48 - Retrosubicular area (2,02%)"
"Ch-054","long","S13","CP6","D13","P6","10-10","113","CP6","P6","Exact unordered 10-10 landmark pair","32","5,86","58","-58","22","39 - Angular gyrus, part of Wernicke's area","34,98","39 - Angular gyrus, part of Wernicke's area (34,98%); 22 - Superior Temporal Gyrus (26,33%); 37 - Fusiform gyrus (16,36%); 21 - Middle Temporal gyrus (11,11%); 40 - Supramarginal gyrus part of Wernicke's area (5,66%); 42 - Primary and Auditory Association Cortex (2,16%); 48 - Retrosubicular area (2,13%)"
"Ch-055","short","S13","CP6","D41","CP6","","","","","No direct fOLD match: co-located short-separation detector",,,,,,"",,""
"Ch-056","long","S14","Pz","D9","CPz","10-10","67","Pz","Cpz","Exact unordered 10-10 landmark pair","39","5,03","2","-61","66","7 - Somatosensory Association Cortex","58,83","7 - Somatosensory Association Cortex (58,83%); 5 - Somatosensory Association Cortex (37,60%); Brain_Outside (1,26%); 4 - Primary Motor Cortex (1,09%)"
"Ch-057","long","S14","Pz","D12","P2","10-10","68","Pz","P2","Exact unordered 10-10 landmark pair","30","3,17","15","-73","57","7 - Somatosensory Association Cortex","93,86","7 - Somatosensory Association Cortex (93,86%); 19 - V3 (4,39%); 5 - Somatosensory Association Cortex (1,47%)"
"Ch-058","long","S14","Pz","D19","P1","10-10","66","Pz","P1","Exact unordered 10-10 landmark pair","30","3,37","-13","-73","56","7 - Somatosensory Association Cortex","91,59","7 - Somatosensory Association Cortex (91,59%); 19 - V3 (5,26%); 5 - Somatosensory Association Cortex (2,03%)"
"Ch-059","short","S14","Pz","D42","Pz","","","","","No direct fOLD match: co-located short-separation detector",,,,,,"",,""
"Ch-060","long","S15","P4","D10","CP4","10-10","116","P4","CP4","Exact unordered 10-10 landmark pair","35","6,86","46","-62","47","39 - Angular gyrus, part of Wernicke's area","57,87","39 - Angular gyrus, part of Wernicke's area (57,87%); 40 - Supramarginal gyrus part of Wernicke's area (25,01%); 7 - Somatosensory Association Cortex (12,51%); 19 - V3 (3,89%)"
"Ch-061","long","S15","P4","D12","P2","10-10","117","P4","P2","Exact unordered 10-10 landmark pair","30","5,24","33","-74","48","7 - Somatosensory Association Cortex","70,31","7 - Somatosensory Association Cortex (70,31%); 19 - V3 (18,79%); 39 - Angular gyrus, part of Wernicke's area (10,37%)"
"Ch-062","long","S15","P4","D13","P6","10-10","118","P4","P6","Exact unordered 10-10 landmark pair","30","4,77","47","-72","30","39 - Angular gyrus, part of Wernicke's area","79,99","39 - Angular gyrus, part of Wernicke's area (79,99%); 19 - V3 (15,11%); 7 - Somatosensory Association Cortex (1,97%); 37 - Fusiform gyrus (1,47%)"
"Ch-063","long","S15","P4","D14","PO4","10-10","119","P4","PO4","Exact unordered 10-10 landmark pair","37","10,01","34","-83","30","19 - V3","65,08","19 - V3 (65,08%); 18 - Visual Association Cortex (V2) (15,16%); 39 - Angular gyrus, part of Wernicke's area (13,34%); 7 - Somatosensory Association Cortex (4,83%)"
"Ch-064","short","S15","P4","D43","P4","","","","","No direct fOLD match: co-located short-separation detector",,,,,,"",,""
"Ch-065","long","S16","P8","D11","TP8","10-10","120","P8","TP8","Exact unordered 10-10 landmark pair","29","4,93","62","-52","-8","37 - Fusiform gyrus","68,11","37 - Fusiform gyrus (68,11%); 20 - Inferior Temporal gyrus (18,12%); 21 - Middle Temporal gyrus (12,15%)"
"Ch-066","long","S16","P8","D13","P6","10-10","121","P8","P6","Exact unordered 10-10 landmark pair","31","4,51","54","-67","6","37 - Fusiform gyrus","68,82","37 - Fusiform gyrus (68,82%); 19 - V3 (15,12%); 39 - Angular gyrus, part of Wernicke's area (13,23%); 21 - Middle Temporal gyrus (1,50%)"
"Ch-067","short","S16","P8","D44","P8","","","","","No direct fOLD match: co-located short-separation detector",,,,,,"",,""
"Ch-068","long","S17","POz","D12","P2","10-10","72","POz","P2","Exact unordered 10-10 landmark pair","46","11,4","12","-81","43","7 - Somatosensory Association Cortex","44,27","7 - Somatosensory Association Cortex (44,27%); 19 - V3 (42,57%); 18 - Visual Association Cortex (V2) (11,66%); Brain_Outside (1,01%)"
"Ch-069","long","S17","POz","D14","PO4","10-10","73","POz","PO4","Exact unordered 10-10 landmark pair","36","10,07","16","-92","24","18 - Visual Association Cortex (V2)","67,8","18 - Visual Association Cortex (V2) (67,80%); 19 - V3 (15,69%); 17 - Primary Visual Cortex (V1) (13,96%); Brain_Outside (2,11%)"
"Ch-070","long","S17","POz","D15","Oz","10-10","71","POz","Oz","Exact unordered 10-10 landmark pair","40","11,15","-2","-97","12","17 - Primary Visual Cortex (V1)","60,56","17 - Primary Visual Cortex (V1) (60,56%); 18 - Visual Association Cortex (V2) (30,10%); Brain_Outside (6,76%); 19 - V3 (2,50%)"
"Ch-071","long","S17","POz","D18","PO3","10-10","70","POz","PO3","Exact unordered 10-10 landmark pair","36","10,76","-16","-93","25","18 - Visual Association Cortex (V2)","64,83","18 - Visual Association Cortex (V2) (64,83%); 19 - V3 (17,65%); 17 - Primary Visual Cortex (V1) (12,30%); Brain_Outside (4,88%)"
"Ch-072","long","S17","POz","D19","P1","10-10","69","POz","P1","Exact unordered 10-10 landmark pair","45","11,96","-12","-83","42","19 - V3","47,5","19 - V3 (47,50%); 7 - Somatosensory Association Cortex (36,16%); 18 - Visual Association Cortex (V2) (12,87%); Brain_Outside (2,89%)"
"Ch-073","short","S17","POz","D45","POz","","","","","No direct fOLD match: co-located short-separation detector",,,,,,"",,""
"Ch-074","long","S18","O1","D15","Oz","10-10","54","O1","Oz","Exact unordered 10-10 landmark pair","30","10,15","-14","-101","-2","17 - Primary Visual Cortex (V1)","78,86","17 - Primary Visual Cortex (V1) (78,86%); 18 - Visual Association Cortex (V2) (16,25%); Brain_Outside (4,86%)"
"Ch-075","long","S18","O1","D17","I1","10-10","53","O1","I1","Exact unordered 10-10 landmark pair","40","4,77","-24","-95","-13","18 - Visual Association Cortex (V2)","64,48","18 - Visual Association Cortex (V2) (64,48%); Brain_Outside (15,99%); 17 - Primary Visual Cortex (V1) (14,85%); 19 - V3 (4,68%)"
"Ch-076","long","S18","O1","D18","PO3","10-10","51","O1","PO3","Exact unordered 10-10 landmark pair","30","8,72","-26","-96","8","18 - Visual Association Cortex (V2)","48,62","18 - Visual Association Cortex (V2) (48,62%); 17 - Primary Visual Cortex (V1) (40,66%); Brain_Outside (5,85%); 19 - V3 (4,83%)"
"Ch-077","short","S18","O1","D46","O1","","","","","No direct fOLD match: co-located short-separation detector",,,,,,"",,""
"Ch-078","long","S19","O2","D14","PO4","10-10","126","O2","PO4","Exact unordered 10-10 landmark pair","28","9,15","26","-97","8","17 - Primary Visual Cortex (V1)","48,05","17 - Primary Visual Cortex (V1) (48,05%); 18 - Visual Association Cortex (V2) (45,92%); 19 - V3 (3,21%); Brain_Outside (2,79%)"
"Ch-079","long","S19","O2","D15","Oz","10-10","125","O2","Oz","Exact unordered 10-10 landmark pair","30","6,08","15","-99","-1","17 - Primary Visual Cortex (V1)","67,6","17 - Primary Visual Cortex (V1) (67,60%); 18 - Visual Association Cortex (V2) (26,74%); Brain_Outside (5,61%)"
"Ch-080","long","S19","O2","D16","I2","10-10","124","O2","I2","Exact unordered 10-10 landmark pair","41","5,32","25","-94","-14","18 - Visual Association Cortex (V2)","63,43","18 - Visual Association Cortex (V2) (63,43%); Brain_Outside (17,51%); 17 - Primary Visual Cortex (V1) (13,75%); 19 - V3 (5,31%)"
"Ch-081","short","S19","O2","D47","O2","","","","","No direct fOLD match: co-located short-separation detector",,,,,,"",,""
"Ch-082","long","S20","Iz","D15","Oz","10-10","76","Iz","Oz","Exact unordered 10-10 landmark pair","40","2,83","-2","-96","-11","17 - Primary Visual Cortex (V1)","48,68","17 - Primary Visual Cortex (V1) (48,68%); 18 - Visual Association Cortex (V2) (32,93%); Brain_Outside (18,38%)"
"Ch-083","long","S20","Iz","D16","I2","10-10","74","Iz","I2","Exact unordered 10-10 landmark pair","34","0,33","17","-88","-33","Brain_Outside","87,93","Brain_Outside (87,93%); 18 - Visual Association Cortex (V2) (10,83%)"
"Ch-084","long","S20","Iz","D17","I1","10-10","75","Iz","I1","Exact unordered 10-10 landmark pair","34","0,24","-17","-88","-31","Brain_Outside","85,49","Brain_Outside (85,49%); 18 - Visual Association Cortex (V2) (13,81%)"
"Ch-085","short","S20","Iz","D48","Iz","","","","","No direct fOLD match: co-located short-separation detector",,,,,,"",,""
"Ch-086","long","S21","P3","D18","PO3","10-10","46","P3","PO3","Exact unordered 10-10 landmark pair","35","8,41","-34","-83","30","19 - V3","69,05","19 - V3 (69,05%); 39 - Angular gyrus, part of Wernicke's area (13,19%); 18 - Visual Association Cortex (V2) (11,96%); 7 - Somatosensory Association Cortex (4,88%)"
"Ch-087","long","S21","P3","D19","P1","10-10","44","P3","P1","Exact unordered 10-10 landmark pair","30","5,16","-32","-73","47","7 - Somatosensory Association Cortex","69,67","7 - Somatosensory Association Cortex (69,67%); 19 - V3 (19,44%); 39 - Angular gyrus, part of Wernicke's area (9,94%)"
"Ch-088","long","S21","P3","D20","P5","10-10","45","P3","P5","Exact unordered 10-10 landmark pair","30","4,73","-46","-72","30","39 - Angular gyrus, part of Wernicke's area","77,97","39 - Angular gyrus, part of Wernicke's area (77,97%); 19 - V3 (17,15%); 7 - Somatosensory Association Cortex (2,03%); 37 - Fusiform gyrus (1,64%)"
"Ch-089","long","S21","P3","D21","CP3","10-10","43","P3","CP3","Exact unordered 10-10 landmark pair","36","7,33","-46","-61","46","39 - Angular gyrus, part of Wernicke's area","53,3","39 - Angular gyrus, part of Wernicke's area (53,30%); 40 - Supramarginal gyrus part of Wernicke's area (29,77%); 7 - Somatosensory Association Cortex (12,29%); 19 - V3 (3,89%)"
"Ch-090","short","S21","P3","D49","P3","","","","","No direct fOLD match: co-located short-separation detector",,,,,,"",,""
"Ch-091","long","S22","P7","D20","P5","10-10","48","P7","P5","Exact unordered 10-10 landmark pair","30","4,1","-54","-67","6","37 - Fusiform gyrus","68,55","37 - Fusiform gyrus (68,55%); 19 - V3 (18,69%); 39 - Angular gyrus, part of Wernicke's area (9,89%); 21 - Middle Temporal gyrus (1,83%)"
"Ch-092","long","S22","P7","D22","TP7","10-10","47","P7","TP7","Exact unordered 10-10 landmark pair","30","6,42","-64","-52","-9","37 - Fusiform gyrus","71,2","37 - Fusiform gyrus (71,20%); 20 - Inferior Temporal gyrus (18,69%); 21 - Middle Temporal gyrus (8,54%)"
"Ch-093","short","S22","P7","D50","P7","","","","","No direct fOLD match: co-located short-separation detector",,,,,,"",,""
"Ch-094","long","S23","CP1","D9","CPz","10-10","38","CP1","Cpz","Exact unordered 10-10 landmark pair","38","6,13","-16","-50","72","5 - Somatosensory Association Cortex","52,42","5 - Somatosensory Association Cortex (52,42%); 7 - Somatosensory Association Cortex (24,93%); 1 - Primary Somatosensory Cortex (8,79%); 2 - Primary Somatosensory Cortex (4,28%); 3 - Primary Somatosensory Cortex (4,07%); 4 - Primary Motor Cortex (3,62%); Brain_Outside (1,36%)"
