"channel_id","channel_type","source_optode","source_landmark","detector_optode","detector_landmark","fOLD_reference","fOLD_channel_number","fOLD_source_landmark","fOLD_detector_landmark","match_status","fOLD_distance_mm","fOLD_brain_sensitivity_percent","fOLD_mni_x_mm","fOLD_mni_y_mm","fOLD_mni_z_mm","Brodmann_primary_area","Brodmann_primary_specificity_percent","Brodmann_all_areas"
"Ch-110","long","S26","T7","D24","C5","10-10","33","T7","C5","Exact unordered 10-10 landmark pair","40","11,64","-65","-18","4","22 - Superior Temporal Gyrus","42,2","22 - Superior Temporal Gyrus (42,20%); 21 - Middle Temporal gyrus (37,02%); 48 - Retrosubicular area (11,73%); 43 - Subcentral area (3,88%); 42 - Primary and Auditory Association Cortex (2,23%); 20 - Inferior Temporal gyrus (1,51%)"
"Ch-111","short","S26","T7","D54","T7","","","","","No direct fOLD match: co-located short-separation detector",,,,,,"",,""
"Ch-112","long","S27","FC1","D5","FCz","10-10","23","FC1","FCz","Exact unordered 10-10 landmark pair","36","5,14","-13","12","67","6 - Pre-Motor and Supplementary Motor Cortex","73,21","6 - Pre-Motor and Supplementary Motor Cortex (73,21%); 8 - Includes Frontal eye fields (25,88%)"
"Ch-113","long","S27","FC1","D23","C1","10-10","22","FC1","C1","Exact unordered 10-10 landmark pair","39","7,33","-26","-5","68","6 - Pre-Motor and Supplementary Motor Cortex","81,78","6 - Pre-Motor and Supplementary Motor Cortex (81,78%); 8 - Includes Frontal eye fields (10,37%); 4 - Primary Motor Cortex (6,00%)"
"Ch-114","long","S27","FC1","D25","FC3","10-10","21","FC1","FC3","Exact unordered 10-10 landmark pair","36","7,59","-38","12","55","6 - Pre-Motor and Supplementary Motor Cortex","37,52","6 - Pre-Motor and Supplementary Motor Cortex (37,52%); 9 - Dorsolateral prefrontal cortex (35,13%); 8 - Includes Frontal eye fields (23,49%); 44 - pars opercularis, part of Broca's area (2,92%)"
"Ch-115","long","S27","FC1","D26","F1","10-10","20","FC1","F1","Exact unordered 10-10 landmark pair","39","5,79","-23","26","56","8 - Includes Frontal eye fields","63,72","8 - Includes Frontal eye fields (63,72%); 9 - Dorsolateral prefrontal cortex (26,04%); 6 - Pre-Motor and Supplementary Motor Cortex (8,30%)"
"Ch-116","short","S27","FC1","D55","FC1","","","","","No direct fOLD match: co-located short-separation detector",,,,,,"",,""
"Ch-117","long","S28","FC5","D24","C5","10-10","27","FC5","C5","Exact unordered 10-10 landmark pair","33","7,62","-62","-3","23","43 - Subcentral area","47,13","43 - Subcentral area (47,13%); 6 - Pre-Motor and Supplementary Motor Cortex (18,97%); 48 - Retrosubicular area (17,34%); 44 - pars opercularis, part of Broca's area (5,72%); 22 - Superior Temporal Gyrus (5,21%); 4 - Primary Motor Cortex (2,22%); 2 - Primary Somatosensory Cortex (1,07%)"
"Ch-118","long","S28","FC5","D25","FC3","10-10","25","FC5","FC3","Exact unordered 10-10 landmark pair","36","11,31","-55","12","34","44 - pars opercularis, part of Broca's area","47,81","44 - pars opercularis, part of Broca's area (47,81%); 6 - Pre-Motor and Supplementary Motor Cortex (35,96%); 9 - Dorsolateral prefrontal cortex (8,63%); 48 - Retrosubicular area (2,15%); 45 - pars triangularis Broca's area (1,83%); 43 - Subcentral area (1,47%); 4 - Primary Motor Cortex (1,23%)"
"Ch-119","long","S28","FC5","D27","F5","10-10","24","FC5","F5","Exact unordered 10-10 landmark pair","33","7,94","-56","24","20","45 - pars triangularis Broca's area","53,08","45 - pars triangularis Broca's area (53,08%); 44 - pars opercularis, part of Broca's area (33,59%); 6 - Pre-Motor and Supplementary Motor Cortex (6,26%); 48 - Retrosubicular area (5,11%)"
"Ch-120","short","S28","FC5","D56","FC5","","","","","No direct fOLD match: co-located short-separation detector",,,,,,"",,""
"Ch-121","long","S29","F3","D25","FC3","10-10","16","F3","FC3","Exact unordered 10-10 landmark pair","36","9,1","-45","25","41","9 - Dorsolateral prefrontal cortex","36,92","9 - Dorsolateral prefrontal cortex (36,92%); 44 - pars opercularis, part of Broca's area (26,54%); 45 - pars triangularis Broca's area (14,70%); 46 - Dorsolateral prefrontal cortex (12,25%); 6 - Pre-Motor and Supplementary Motor Cortex (6,84%); 8 - Includes Frontal eye fields (1,74%)"
"Ch-122","long","S29","F3","D26","F1","10-10","14","F3","F1","Exact unordered 10-10 landmark pair","29","3,28","-31","39","41","9 - Dorsolateral prefrontal cortex","66,61","9 - Dorsolateral prefrontal cortex (66,61%); 46 - Dorsolateral prefrontal cortex (24,85%); 8 - Includes Frontal eye fields (4,42%); 45 - pars triangularis Broca's area (3,24%)"
"Ch-123","long","S29","F3","D27","F5","10-10","15","F3","F5","Exact unordered 10-10 landmark pair","29","6,77","-46","39","26","45 - pars triangularis Broca's area","72,56","45 - pars triangularis Broca's area (72,56%); 46 - Dorsolateral prefrontal cortex (21,84%); 44 - pars opercularis, part of Broca's area (2,45%); 9 - Dorsolateral prefrontal cortex (1,99%)"
